Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
15-May-17,22.8,23,22.6,22.7,22.77942678,135166,315,3079004,76801,56.82,0.4,-0.1
12-May-17,22.95,23,22.55,22.7,22.74167027,221736,316,5042647,106401,47.99,0.45,-0.25
11-May-17,23.2,23.3,22.95,23,23.0898471,158792,331,3666483,93163,58.67,0.35,-0.2
10-May-17,22.85,23.3,22.85,23.15,23.11274831,242895,509,5613971,132205,54.43,0.45,0.3
9-May-17,22.5,23.3,22.4,22.8,22.83878354,265953,511,6074043,117963,44.35,0.9,0.3
8-May-17,22.85,22.95,22.4,22.45,22.59657245,217298,382,4910190,109115,50.21,0.55,-0.4
5-May-17,23,23.2,22.5,22.6,22.84154711,319666,491,7301666,149575,46.79,0.7,-0.4
4-May-17,23.3,23.45,22.9,23,23.10061358,211870,422,4894327,74738,35.28,0.55,-0.3
3-May-17,23.5,23.8,23.25,23.25,23.4556622,349149,578,8189521,119080,34.11,0.55,-0.25
2-May-17,23.65,23.85,23.25,23.4,23.50094217,343355,612,8069166,167841,48.88,0.6,-0.25
28-Apr-17,23.6,23.6,23.15,23.3,23.37600906,219016,313,5119720,80115,36.58,0.45,-0.3
27-Apr-17,23.5,24.1,23.3,23.6,23.69470978,523230,927,12397783,176319,33.7,0.8,0.1
26-Apr-17,24.1,24.25,23.2,23.45,23.63835354,371100,718,8772193,164508,44.33,1.05,-0.65
25-Apr-17,24.4,24.45,23.85,23.95,24.06810895,395807,613,9526326,119372,30.16,0.6,-0.45
24-Apr-17,24.15,24.55,23.95,24.05,24.17969389,566391,1109,13695161,242227,42.77,0.6,-0.1
21-Apr-17,24.75,24.9,23.7,23.9,24.29293127,669512,1288,16264409,243506,36.37,1.2,-0.85
20-Apr-17,23.85,24.7,23.5,24.55,24.18126746,918786,1779,22217410,378238,41.17,1.2,0.7
19-Apr-17,23.7,23.7,23.2,23.55,23.45031111,335890,727,7876725,125200,37.27,0.5,-0.15
18-Apr-17,23.75,24.55,23.15,23.35,23.93623178,1018407,2142,24376826,349291,34.3,1.4,-0.4
17-Apr-17,23.2,23.9,23.2,23.7,23.61386609,990387,1740,23386866,453279,45.77,0.7,0.5
13-Apr-17,22.3,23.4,22.15,22.95,22.85284552,950423,1517,21719870,177305,18.66,1.25,0.65
12-Apr-17,23.3,23.3,22,22.35,22.44481526,461740,775,10363669,176392,38.2,1.3,-0.95
11-Apr-17,23,23.5,22.85,23.1,23.11529993,387858,677,8965454,130423,33.63,0.65,0.1
10-Apr-17,23.3,23.3,22.7,23,23.01863442,309159,594,7116418,125572,40.62,0.6,-0.3
7-Apr-17,22.9,23.7,22.7,22.95,23.26097774,725104,1392,16866628,287788,39.69,1,0.05
6-Apr-17,22.5,23.4,22.2,23.1,22.76367556,551056,1011,12544060,215503,39.11,1.2,0.6
5-Apr-17,22.1,22.7,22.1,22.6,22.44712501,506402,874,11367269,237703,46.94,0.6,0.5
3-Apr-17,21.4,22.25,21.3,22.05,21.93056599,697612,1150,15299026,246989,35.4,0.95,0.65
31-Mar-17,22.1,22.6,21.1,21.3,21.81984121,787472,1257,17182514,339747,43.14,1.5,-0.8
30-Mar-17,21.3,22.3,21.3,22.15,21.96443051,730317,1246,16040997,364320,49.89,1,0.85
29-Mar-17,21.25,21.85,20.4,21.3,21.22723358,1127395,1966,23931477,362371,32.14,1.45,0.05
28-Mar-17,21.8,22,20.7,21,21.32724,915099,1283,19516536,465906,50.91,1.3,-0.8
27-Mar-17,22.3,22.45,21.5,21.65,21.85477239,519247,790,11348025,230510,44.39,0.95,-0.65
24-Mar-17,22.35,22.7,22.15,22.3,22.43708449,313921,489,7043472,136125,43.36,0.55,-0.05
23-Mar-17,22.65,22.8,22.15,22.3,22.38435144,445025,779,9961596,174803,39.28,0.65,-0.35
22-Mar-17,22.65,22.9,22.4,22.5,22.64232333,238313,404,5395960,81934,34.38,0.5,-0.15
21-Mar-17,22.95,23.35,22.75,22.85,22.95022946,253202,447,5811044,96468,38.1,0.6,-0.1
20-Mar-17,23.5,23.55,22.95,23.15,23.11350936,394038,472,9107601,303914,77.13,0.6,-0.35
17-Mar-17,23.95,24.45,23.3,23.45,23.67687653,829590,1640,19642100,444558,53.59,1.15,-0.5
16-Mar-17,22.35,23.95,22.3,23.8,23.24856886,1000950,2351,23270655,330995,33.07,1.65,1.45
15-Mar-17,22.25,22.45,22.1,22.15,22.28765458,163672,327,3647865,69511,42.47,0.35,-0.1
14-Mar-17,22.35,22.55,21.85,22.25,22.12818698,384259,674,8502955,194038,50.5,0.7,-0.1
10-Mar-17,22.15,22.3,21.8,21.85,21.9952208,154419,296,3396480,85922,55.64,0.5,-0.3
9-Mar-17,22.05,22.3,21.85,22,21.98740162,267574,484,5883257,126372,47.23,0.45,-0.05
8-Mar-17,22.55,22.55,22.05,22.1,22.18827077,207584,513,4605930,120983,58.28,0.5,-0.45
7-Mar-17,22.35,22.6,22.25,22.3,22.35723695,294544,461,6585190,145312,49.33,0.35,-0.05
6-Mar-17,22.35,22.55,22.25,22.4,22.35316717,316765,457,7080701,162533,51.31,0.3,0.05
3-Mar-17,22.5,22.7,22.15,22.3,22.37254731,264200,481,5910827,75315,28.51,0.55,-0.2
2-Mar-17,22.9,23.2,22.3,22.45,22.78604063,432713,627,9859816,139942,32.34,0.9,-0.45
1-Mar-17,22.8,23.2,22.75,22.9,22.9163133,428969,701,9830388,133419,31.1,0.45,0.1
28-Feb-17,22.2,22.75,22.15,22.65,22.48684855,516559,789,11615784,202388,39.18,0.6,0.45
27-Feb-17,22.7,22.75,22.2,22.25,22.47809226,283644,540,6375776,146446,51.63,0.55,-0.45
23-Feb-17,22.95,23,22.7,22.75,22.8193405,252403,443,5759670,124097,49.17,0.3,-0.2
22-Feb-17,23.4,23.5,22.7,22.8,23.02530494,425411,756,9795218,214523,50.43,0.8,-0.6
21-Feb-17,23.4,23.65,23.25,23.4,23.42766862,355558,565,8329895,153012,43.03,0.4,0
20-Feb-17,22.85,23.65,22.8,23.3,23.19578695,430994,844,9997245,185800,43.11,0.85,0.45
17-Feb-17,23.3,23.3,22.7,22.75,22.90015743,235661,576,5396674,144273,61.22,0.6,-0.55
16-Feb-17,22.35,23,22.15,22.9,22.7634328,402634,824,9165332,121587,30.2,0.85,0.55
15-Feb-17,23.65,23.65,22.5,22.6,22.8245938,779351,1605,17788370,321340,41.23,1.15,-1.05
14-Feb-17,24,24.4,23.8,24,24.08920122,439142,880,10578580,162918,37.1,0.6,0
13-Feb-17,24.65,24.8,23.8,24,24.20634498,472752,1040,11443598,168961,35.74,1,-0.65
10-Feb-17,24.95,24.95,24.5,24.6,24.72129165,339936,800,8403657,166706,49.04,0.45,-0.35
9-Feb-17,25.2,25.2,24.65,24.85,24.90569237,357988,690,8915939,149843,41.86,0.55,-0.35
8-Feb-17,25,25.3,24.75,24.95,25.00403473,194313,472,4858609,88373,45.48,0.55,-0.05
7-Feb-17,25,25.7,24.85,25,25.19750717,700810,1325,17658665,234544,33.47,0.85,0
6-Feb-17,25.05,25.3,24.6,24.9,24.9940134,581799,1034,14541492,217358,37.36,0.7,-0.15
3-Feb-17,25.3,25.5,24.9,25,25.11826658,470192,901,11810408,205855,43.78,0.6,-0.3
2-Feb-17,25.8,25.8,25.1,25.3,25.40630492,455803,1030,11580270,165557,36.32,0.7,-0.5
1-Feb-17,24.9,26.15,24.55,25.9,25.70225544,1752294,3784,45037908,681428,38.89,1.6,1
31-Jan-17,25.05,25.25,24.55,24.7,24.86356623,453033,1197,11264016,198184,43.75,0.7,-0.35
30-Jan-17,24.5,25.25,24.5,24.8,24.86287456,398635,953,9911212,165581,41.54,0.75,0.3
27-Jan-17,25.15,25.2,24.45,24.65,24.72125096,395535,825,9778120,224717,56.81,0.75,-0.5
25-Jan-17,24.5,25.35,24.45,25.1,24.95514692,838337,1566,20920823,331149,39.5,0.9,0.6
24-Jan-17,24.35,24.8,24.25,24.4,24.47034469,308680,663,7553506,150911,48.89,0.55,0.05
23-Jan-17,24.4,24.65,24.1,24.3,24.33891553,225419,495,5486454,107621,47.74,0.55,-0.1
20-Jan-17,24.8,25,24,24.15,24.44223689,330834,741,8086323,165503,50.03,1,-0.65
19-Jan-17,24.9,25.25,24.7,24.85,24.97441439,304468,719,7603910,147106,48.32,0.55,-0.05
18-Jan-17,25,25.35,24.85,24.95,25.08093545,433333,974,10868397,152972,35.3,0.5,-0.05
17-Jan-17,25,25.45,24.6,24.85,25.03099293,393251,885,9843463,171887,43.71,0.85,-0.15
16-Jan-17,24.35,25.2,24.25,24.9,24.80658746,441657,999,10956003,169533,38.39,0.95,0.55
